model,episode,success,total_reward,n_steps,stand_reward,small_control,door_openness_reward,door_hatch_openness_reward,hand_hatch_proximity_reward,passage_reward
Baseline,32,0,302.31322830479036,1000,924.06848068164,942.7894691622812,316.18326660803956,562.9991402048852,894.9451958836271,0.0
Baseline,33,0,233.4157002443836,1000,861.7511312378964,940.7756146414881,196.63318507571483,390.134305316375,883.2571400098587,0.48740560861165927
Baseline,34,0,308.6946595137601,1000,902.0834417596641,941.297705240661,348.958881942487,484.4486735953005,850.2969360657236,0.0
Baseline,35,0,91.96870786257259,260,237.2591469525954,245.4400873287024,108.52973133791642,179.37926552133766,233.13854293766462,0.2727482952698551
Baseline,36,0,261.3064611283998,1000,887.1996924619136,941.9064510661332,242.44361446229345,488.83596695241675,883.7677933089142,0.0
Baseline,37,0,268.45370853734414,1000,575.4599704386293,942.5002934618192,348.3768874920393,331.89395579209275,816.7684154018672,0.0
Baseline,38,0,227.76619631190133,1000,956.1310580904611,941.220930353743,151.6502143298458,506.13413796904086,817.1879299158652,9.579856096662738
Baseline,39,0,134.77072941918723,411,377.78874329869274,388.66233282508415,141.06810657885796,332.43820844667295,375.8643866335114,0.36255409887740964
Baseline,40,0,496.79590823398064,1000,929.6757186902332,940.3435585914323,779.378486566117,284.8787901423231,868.0091410413581,2.8791508890786153
Baseline,41,0,185.0194737303416,445,412.4452369364762,420.40225735694037,245.8455853557121,300.3821651867802,407.92458440397917,0.0
